student_id,summary_en,last_contact_method,contact_outcome,intervention_succeeded,followup_due,risk_flags,trajectory,name_mismatch
S033,"The student is experiencing anxiety, has poor attendance, and has completed almost no exercises.",none,unknown,,,"health, disengagement",unknown,True
S035,"The facilitator notes that the student is completing many exercises but only at an easy level, and test scores indicate this is insufficient. As of the latest note, the student has not changed strategy and requires closer follow-up.",none,unknown,,,disengagement,worsening,True
S038,The student is identified as struggling and requires an intensive intervention plan.,none,unknown,,,disengagement,unknown,True
S039,The student attended all week but suddenly stopped coming despite a good test score of 84. The facilitator attempted to contact the parent via WhatsApp and phone calls but received no answer; a follow-up call is planned for the next day.,call,no_answer,,2025-10-15,disengagement,worsening,True
S041,"The student attends sessions well but completes zero exercises. The facilitator contacted the parent, who was unaware exercises were required; after clarification, improvement is expected.",call,reached,,,"disengagement, family_issue",unknown,True
S042,"The student (referred to as Fatima in the notes) appears distracted and checks her phone during class. The father sent a WhatsApp message stating she was sick all week and would return Monday. She returned but seems behind academically; the facilitator offered extra help after class, which the student refused.",whatsapp,reached,False,,"phone_addiction, disengagement",worsening,True
S044,The student's performance is poor across all measures; immediate contact with parents is needed.,none,unknown,,,disengagement,worsening,True
S046,"The student was initially completing many easy exercises without sufficient challenge, but later began attempting difficult questions and showed good progress.",none,unknown,,,disengagement,improving,True
S049,"The student is struggling academically with weak grades, attendance, and exercise completion. The notes refer to the student as 'Ahmed', which differs from the given name.",none,unknown,,,disengagement,unknown,True
S050,"The student has been attending progressively less class time over two days (45 minutes then 30 minutes) and reports feeling tired, possibly due to illness. No parent contact has been attempted.",none,unknown,,,"disengagement, health",worsening,False
S051,"The student initially crammed 120 questions in one day before a test, scoring 52 and showing frustration. After the facilitator explained that last-minute cramming is ineffective, the student improved and now practices regularly.",none,unknown,True,,,improving,True
S054,The student needs comprehensive intervention as all indicators are negative. No parent contact noted.,none,unknown,,,"disengagement, other",unknown,True
S057,The student has excellent attendance but completes zero exercises. The facilitator plans to contact the parents to explain requirements.,none,unknown,,,disengagement,stable,True
S058,"The facilitator called the student's mother to address test anxiety, explaining the test was formative not final. The mother relaxed, the student's score improved to 70, attendance and exercise completion increased, and the facilitator noted the intervention succeeded.",call,reached,True,,family_issue,improving,True
S061,"The student is identified as one of the most struggling students, requiring an urgent intervention plan.",none,unknown,,,disengagement,unknown,True
S063,The student is completing many easy exercises but not progressing to more challenging material; facilitator notes indicate a need to clarify the difference and move to stronger content. No parent contact recorded.,none,unknown,,,disengagement,worsening,True
S066,"The student's situation is described as difficult, requiring intensive support. No parent contact or interventions are documented.",none,unknown,,,disengagement,unknown,True
S067,The student has been attending for only short periods and appears unwell; the facilitator contacted the parent by phone and advised seeking medical care if the condition persists.,call,reached,,,"health, disengagement",worsening,True
S069,The student attends sessions regularly but completes no exercises; the facilitator observes a pattern across multiple students suggesting a methodological issue where students do not understand exercises are essential to the program.,none,unknown,,,disengagement,stable,True
S070,The facilitator called the parent on 2025-10-05 and reported the student was initially struggling but has improved significantly after an early intervention; subsequent notes show the student's scores and engagement increased markedly.,call,reached,True,,,improving,True
S073,The student is described as having severe anxiety with all indicators showing red flags. The notes appear to reference a different name than the student on file.,none,unknown,,,"health, disengagement",worsening,True
S075,The facilitator notes indicate the student avoids difficult questions and needs more time to build self-confidence. No parent contact is recorded.,none,unknown,,,disengagement,unknown,True
S076,The student is consistently described as excellent in facilitator notes. No parent contact or interventions recorded.,none,unknown,,,,stable,True
S078,"The facilitator notes indicate the student needs urgent intervention before the situation worsens further. The notes refer to the student as 'Mohammed', which differs from the given name 'Sara Al-Shammari'.",none,unknown,,,disengagement,worsening,True
S081,"The student initially attended sessions but did not practice; after the facilitator discussed the student's weak test scores, the student began practicing and showed significant improvement, with early intervention succeeding.",none,unknown,True,,disengagement,improving,True
S084,The student is noted as one of the weakest students and requires a rescue plan.,none,unknown,,,disengagement,unknown,True
S086,"The student progressed from completing only easy exercises to attempting difficult questions, showing improvement in test preparation.",none,unknown,,,,improving,False
S089,"The student's performance is very weak, and the facilitator notes that action is needed quickly.",none,unknown,,,disengagement,unknown,True
S091,"The student's attendance dropped suddenly; she attended only 20 minutes on one day appearing tired, then stopped attending entirely. The facilitator called the parent but received no answer and plans to contact the school administration.",call,no_answer,False,,"family_issue, health, disengagement",worsening,True
S093,The student attends all sessions but consistently refuses to complete exercises. The facilitator notes that parental intervention is needed.,none,unknown,,,disengagement,stable,True
S096,The student is described as a struggling case requiring special attention.,none,unknown,,,disengagement,unknown,True
S098,"The parent called expressing concern about the student's test performance; the facilitator reassured them it was for diagnostic purposes. The student subsequently improved dramatically from the 50s to a score of 92, maintained strong momentum, and is described as a remarkable success story.",call,reached,True,,,improving,False
S101,The student was previously high-performing (score 84) but has suddenly stopped attending. The facilitator attempted to call the parents on 2025-10-14 but received no answer.,call,no_answer,,,"disengagement, family_issue",worsening,False
S102,The student is noted as struggling and needing comprehensive support.,none,unknown,,,disengagement,unknown,True
S105,The student attends sessions but does not practice at all; the same pattern continues over multiple observations.,none,unknown,,,disengagement,stable,True
S108,The student's situation requires rapid intervention according to facilitator notes.,none,unknown,,,,unknown,True
S110,"The student initially needed to understand the importance of challenging exercises for growth, and later began challenging himself more with exercises.",none,unknown,True,,,improving,True
S113,The student is described as a clear case of struggling and needs an action plan. The note uses a different name than the student's given name.,none,unknown,,,disengagement,unknown,True
S116,The student has perfect attendance but zero exercise participation across multiple sessions. No parent contact recorded.,none,unknown,,,disengagement,stable,True
S117,"The student attended only 25 minutes on October 13 and 10 minutes on October 14, reporting a persistent headache. The facilitator called the father, advised a hospital visit, and suggested the student rest the next day.",call,reached,,,"health, disengagement",worsening,False
S122,"The student continues to show the same pattern of high volume but easy-level work, prompting a need for strategy change and firmer intervention. No parent contact documented.",none,unknown,,,disengagement,worsening,True
S123,"The student expressed no benefit from the exercises and only attends because the school requires it. The facilitator called the parent about an attitude issue; the parent was defensive. The student subsequently stopped attending, and the facilitator believes she has quit the program.",call,reached,False,,"disengagement, family_issue",worsening,True
S129,The student attends sessions but does not complete any exercises. The facilitator notes a second issue added to the list and indicates a systematic solution is needed.,none,unknown,,,disengagement,worsening,True
S134,"The student has been consistently arriving 48-52 minutes late to class. The facilitator called the parent, who explained that working night shifts prevents waking the student in the morning; moving to an afternoon session was suggested but no afternoon classes are available, and the lateness continues.",call,reached,False,,family_issue,stable,True
S140,The student attends sessions but consistently refuses to participate in exercises. The facilitator notes a need to understand the reason for the ongoing refusal.,none,unknown,,,disengagement,stable,True
S141,"The student attended for only 15 minutes on 2025-10-13 before leaving early due to feeling unwell. The facilitator called the parent, who reported fever and a cold, and advised the student to rest and not return until recovered. The student was absent on 2025-10-14, and the parent indicated the student is still sick but expected to return next week.",call,reached,,,health,unknown,True
S145,"The student was absent for a week and the parent was unaware of the program; after intervention, attendance and exercise completion have significantly improved and the parent has been informed.",other,reached,True,,family_issue,improving,False
S146,The student avoids difficult questions and requires ongoing psychological support; the underlying issue appears deeper than academic exercises. No parent contact is documented.,none,unknown,,,"health, disengagement",unknown,True
S152,The student attends regularly but completes zero exercises. No parent contact is recorded in the notes.,none,unknown,,,disengagement,stable,True
S156,"The student initially had poor attendance and low exercise completion, but after receiving individual explanation after class, showed dramatic improvement scoring 78 on a test. The parent called to express gratitude, noting the student is now confident and enjoys studying, and the student continues to maintain strong attendance and engagement.",none,unknown,True,,,improving,True
S162,The student attends regularly but refuses to practice exercises; the facilitator suggests a workshop on the importance of practice.,none,unknown,,,disengagement,stable,True
S163,"The student attended for only 25 minutes on Oct 13, then 15 minutes on Oct 14 before leaving, and messaged via WhatsApp on Oct 14 saying he could not attend. The facilitator called the parent, who said the student was unwell, and advised rest.",call,reached,,,"disengagement, health",worsening,True
S168,The student does exercises but not the type that develops skills and needs guidance. A later note indicates slight improvement in understanding the importance of challenge.,none,unknown,,,disengagement,improving,True
S174,"The student attends sessions but refuses to complete exercises, and the situation has worsened to the point where direct intervention is needed. No parent contact is documented.",none,unknown,,,disengagement,worsening,True
S179,"The facilitator notes indicate the student (referred to as Ali) continues to prioritize quantity over quality in their work, with the facilitator noting a need for clearer guidance. No parent contact recorded.",none,unknown,,,disengagement,unknown,True
S185,"The student has strong attendance but completes zero exercises, a pattern noted across multiple sessions.",none,unknown,,,disengagement,stable,True
S190,"The student's attendance dropped sharply from 90 minutes to 20 minutes, then to 18 minutes, and then the student stopped attending entirely. The facilitator attempted to call the parent (no answer) and sent a WhatsApp message that was not delivered. The facilitator notes the student needs urgent intervention.",whatsapp,no_answer,,,disengagement,worsening,True
S191,The facilitator notes indicate the student is completing only easy-level exercises and needs to progress to harder material; the facilitator plans to provide extra guidance after class.,none,unknown,,,disengagement,unknown,True
S196,The facilitator notes describe a student (referred to as Sara) who is not responding to guidance and is part of a pattern observed in several students. No parent contact is recorded.,none,unknown,,,disengagement,worsening,True
